Symbol,Annual Spread
AAPL,0.04
MSFT,0.03
AMZN,0.04
NVDA,0.0
GOOGL,0.06
GOOG,0.03
TSLA,0.03
META,0.19
XOM,0.02
UNH,0.28
JNJ,0.04
JPM,0.03
V,0.07
PG,0.02
MA,0.14
CVX,0.04
HD,0.09
ABBV,0.01
LLY,0.2
MRK,0.0
AVGO,0.52
PEP,0.02
KO,0.01
PFE,0.01
TMO,0.33
COST,0.43
CSCO,0.01
MCD,0.05
WMT,0.03
CRM,0.05
BAC,0.01
DIS,0.02
ACN,0.08
ABT,0.0
ADBE,0.18
LIN,0.14
VZ,0.01
TXN,0.05
DHR,0.09
CMCSA,0.0
AMD,0.01
NFLX,0.17
NKE,0.05
NEE,0.01
PM,0.02
BMY,0.01
RTX,0.0
ORCL,0.08
WFC,0.01
T,0.01
UPS,0.04
INTC,0.01
QCOM,0.0
AMGN,0.18
COP,0.05
HON,0.04
INTU,0.63
LOW,0.05
BA,0.22
UNP,0.03
SBUX,0.01
IBM,0.06
PLD,0.01
SPGI,0.36
ELV,0.36
CAT,0.2
LMT,0.19
MS,0.04
GS,0.1
DE,0.2
MDT,0.02
GE,0.12
GILD,0.04
BKNG,5.8
AMAT,0.0
ADI,0.06
BLK,0.94
CVS,0.0
AXP,0.09
SYK,0.3
NOW,0.62
MDLZ,0.01
AMT,0.18
TJX,0.0
ISRG,0.21
C,0.01
ADP,0.19
REGN,0.76
TMUS,0.01
PYPL,0.01
PGR,0.02
MMC,0.05
CB,0.08
VRTX,0.1
MO,0.01
ZTS,0.12
CI,0.07
TGT,0.14
SCHW,0.01
SO,0.03
DUK,0.01
SLB,0.0
BSX,0.01
FISV,0.01
BDX,0.09
EOG,0.07
CME,0.02
LRCX,0.65
NOC,0.49
AON,0.28
EQIX,0.86
ITW,0.18
ETN,0.06
APD,0.18
HUM,0.02
MU,0.03
CL,0.01
CSX,0.01
WM,0.07
ATVI,0.0
ICE,0.02
SNPS,0.43
CDNS,0.11
CCI,0.07
FCX,0.01
MPC,0.04
EL,0.24
HCA,0.01
MMM,0.01
KLAC,0.37
ORLY,1.0
SHW,0.13
FDX,0.02
MRNA,0.12
GD,0.19
EW,0.02
GIS,0.0
PXD,0.31
F,0.01
GM,0.01
MCK,0.27
PNC,0.04
VLO,0.1
USB,0.01
PSA,0.04
EMR,0.01
CMG,2.07
DG,0.0
MSI,0.22
MCO,0.24
APH,0.01
SRE,0.02
OXY,0.02
AZO,3.96
D,0.01
AEP,0.02
NSC,0.29
ROP,0.2
PSX,0.03
NXPI,0.3
KMB,0.07
MCHP,0.01
DXCM,0.09
MAR,0.12
MSCI,0.54
ADSK,0.12
ADM,0.01
CTVA,0.02
FTNT,0.03
TFC,0.01
EXC,0.01
ANET,0.06
AJG,0.14
PH,0.26
ECL,0.13
A,0.1
NEM,0.02
MNST,0.01
TEL,0.08
IDXX,0.83
TT,0.1
BIIB,0.2
SYY,0.02
O,0.01
CTAS,0.34
JCI,0.01
HES,0.11
TRV,0.07
TDG,0.71
DOW,0.01
HSY,0.18
MET,0.02
ROST,0.04
LHX,0.05
XEL,0.03
HLT,0.06
YUM,0.02
AIG,0.01
COF,0.03
PCAR,0.02
CHTR,0.51
IQV,0.12
SPG,0.06
NUE,0.0
ILMN,0.44
AFL,0.02
WMB,0.01
CARR,0.01
STZ,0.27
CNC,0.0
PAYX,0.04
KMI,0.01
DVN,0.02
MTD,5.51
ED,0.03
ON,0.01
OTIS,0.03
WBD,0.01
WELL,0.0
EA,0.03
CMI,0.18
BK,0.01
VICI,0.01
CPRT,0.02
PPG,0.09
RMD,0.12
KR,0.01
DD,0.03
AME,0.04
AMP,0.28
ROK,0.29
FIS,0.03
DLTR,0.02
CTSH,0.03
PEG,0.02
KHC,0.01
DHI,0.0
FAST,0.01
PRU,0.0
HAL,0.01
ALL,0.07
KDP,0.01
WEC,0.04
VRSK,0.07
ODFL,0.48
GWW,0.56
GEHC,0.11
BKR,0.01
OKE,0.0
APTV,0.06
ANSS,0.79
AWK,0.04
KEYS,0.12
ULTA,0.7
RSG,0.03
SBAC,0.26
CSGP,0.01
ENPH,0.3
ES,0.05
GPN,0.06
ZBH,0.02
EIX,0.03
DLR,0.05
TSCO,0.25
ABC,0.14
LEN,0.05
DFS,0.0
GLW,0.01
STT,0.02
FANG,0.08
PCG,0.01
WST,0.45
WBA,0.01
CDW,0.13
HPQ,0.01
WTW,0.19
ACGL,0.0
URI,0.24
CEG,0.04
TROW,0.08
IT,0.24
EFX,0.21
ALB,0.28
EBAY,0.01
ALGN,0.83
LYB,0.02
GPC,0.11
PWR,0.15
AVB,0.01
FTV,0.03
IFF,0.04
VMC,0.0
IR,0.01
CBRE,0.0
AEE,0.03
PODD,0.51
WY,0.01
HIG,0.11
ETR,0.07
DAL,0.01
CHD,0.0
FE,0.01
MPWR,1.61
MLM,0.4
EXR,0.2
MKC,0.03
DTE,0.07
HPE,0.01
FSLR,0.34
TDY,0.65
BAX,0.01
LH,0.2
DOV,0.16
EQR,0.02
PPL,0.01
HOLX,0.07
CAH,0.02
VRSN,0.18
CTRA,0.01
MTB,0.08
ARE,0.09
OMC,0.03
TTWO,0.17
CLX,0.13
STE,0.26
LVS,0.06
LUV,0.01
DRI,0.15
CNP,0.01
NDAQ,0.01
COO,0.45
XYL,0.03
SWKS,0.02
NTRS,0.03
WAT,0.3
INVH,0.01
CAG,0.01
CMS,0.04
WAB,0.06
CINF,0.2
FITB,0.01
RJF,0.01
TSN,0.02
FICO,2.65
MAA,0.18
K,0.01
RF,0.01
STLD,0.08
BALL,0.05
EXPD,0.05
VTR,0.02
BR,0.05
AMCR,0.01
TRGP,0.03
PKI,0.09
IEX,0.15
SJM,0.07
EPAM,0.15
NVR,12.0
PFG,0.03
SEDG,0.16
MRO,0.01
TER,0.08
DGX,0.05
ATO,0.03
AES,0.01
ZBRA,0.82
MOH,0.25
MOS,0.01
FDS,0.52
HBAN,0.01
BBY,0.03
HWM,0.02
GRMN,0.07
IRM,0.05
FMC,0.06
FLT,0.13
TYL,0.43
LW,0.04
MKTX,0.65
J,0.13
TXT,0.03
IPG,0.01
AVY,0.1
CFG,0.01
CF,0.07
CBOE,0.09
PAYC,0.13
BG,0.04
JBHT,0.08
LKQ,0.03
RE,0.54
MGM,0.01
EVRG,0.02
EXPE,0.03
RCL,0.03
UAL,0.01
ETSY,0.08
NTAP,0.02
BRO,0.03
PTC,0.24
INCY,0.04
PHM,0.01
ESS,0.19
LNT,0.01
PKG,0.08
POOL,0.23
IP,0.01
STX,0.03
WRB,0.04
SYF,0.01
SNA,0.18
TRMB,0.03
UDR,0.01
LDOS,0.01
APA,0.01
AKAM,0.04
TFX,0.39
PEAK,0.01
KIM,0.01
EQT,0.02
HRL,0.01
DPZ,0.35
WYNN,0.04
TECH,0.05
VTRS,0.01
HST,0.01
NDSN,0.27
WDC,0.01
CPT,0.2
SWK,0.06
BWA,0.01
CTLT,0.05
NI,0.01
HSIC,0.05
CHRW,0.05
CPB,0.01
CDAY,0.07
KEY,0.01
JNPR,0.01
L,0.02
MAS,0.02
PARA,0.01
JKHY,0.17
CE,0.09
MTCH,0.04
FOXA,0.01
CZR,0.01
KMX,0.04
TPR,0.02
CRL,0.48
QRVO,0.09
CCL,0.01
EMN,0.05
LYV,0.01
BIO,1.42
GEN,0.01
TAP,0.03
GL,0.12
REG,0.04
AAL,0.01
ALLE,0.06
PNW,0.1
PNR,0.02
ROL,0.01
FFIV,0.12
RHI,0.07
AOS,0.04
XRAY,0.02
BBWI,0.01
HII,0.22
UHS,0.13
NRG,0.01
BEN,0.01
WRK,0.01
BXP,0.02
VFC,0.01
AAP,0.01
FRT,0.14
IVZ,0.01
WHR,0.16
SEE,0.05
NWSA,0.01
HAS,0.01
GNRC,0.19
AIZ,0.11
OGN,0.01
DXC,0.01
NCLH,0.01
CMA,0.04
ALK,0.01
MHK,0.15
RL,0.05
NWL,0.01
DVA,0.12
