Symbol,Annual Liquidity
AAPL,-2.85
MSFT,-3.01
AMZN,-3.02
NVDA,-1.73
GOOGL,-2.6
GOOG,-3.02
TSLA,-2.33
META,-3.16
XOM,-2.57
UNH,-1.58
JNJ,-1.05
JPM,-3.53
V,-3.53
PG,-2.97
MA,-4.23
CVX,-3.68
HD,-2.88
ABBV,-2.55
LLY,-2.17
MRK,-2.68
AVGO,-4.41
PEP,-3.44
KO,-2.72
PFE,-2.28
TMO,-2.97
COST,-2.66
CSCO,-3.66
MCD,-3.28
WMT,-1.78
CRM,-5.62
BAC,-2.57
DIS,-3.39
ACN,-3.08
ABT,-2.34
ADBE,-3.06
LIN,-3.39
VZ,-2.44
TXN,-2.54
DHR,-2.12
CMCSA,-3.7
AMD,-2.13
NFLX,-4.02
NKE,-3.91
NEE,-2.9
PM,-4.09
BMY,-2.38
RTX,-3.68
ORCL,-2.92
WFC,-3.54
T,-2.64
UPS,-4.07
INTC,-2.64
QCOM,-3.19
AMGN,-2.45
COP,-3.75
HON,-3.1
INTU,-3.09
LOW,-3.67
BA,-3.19
UNP,-5.24
SBUX,-2.71
IBM,-5.58
PLD,-4.3
SPGI,-4.91
ELV,-2.31
CAT,-1.96
LMT,-2.81
MS,-3.74
GS,-6.8
DE,-1.05
MDT,-3.54
GE,-1.79
GILD,-3.87
BKNG,-2.94
AMAT,-2.92
ADI,-2.95
BLK,-4.74
CVS,-2.88
AXP,-4.0
SYK,-3.28
NOW,-3.39
MDLZ,-2.9
AMT,-2.97
TJX,-5.05
ISRG,-4.0
C,-3.63
ADP,-2.29
REGN,-3.2
TMUS,-2.17
PYPL,-2.69
PGR,-3.07
MMC,-3.76
CB,-5.5
VRTX,-4.37
MO,-3.49
ZTS,-6.29
CI,-1.57
TGT,-3.02
SCHW,-1.22
SO,-2.16
DUK,-1.55
SLB,-2.56
BSX,-2.71
FISV,-5.24
BDX,-4.53
EOG,-2.92
CME,-4.22
LRCX,-1.97
NOC,-4.45
AON,-3.38
EQIX,-2.59
ITW,-3.17
ETN,-2.4
APD,-4.24
HUM,-1.75
MU,-1.6
CL,-3.08
CSX,-2.66
WM,-3.22
ATVI,-2.88
ICE,-2.5
SNPS,-1.91
CDNS,-3.75
CCI,-5.23
FCX,-3.1
MPC,-1.56
EL,-4.32
HCA,-3.57
MMM,-3.33
KLAC,-4.38
ORLY,-4.24
SHW,-3.54
FDX,1.47
MRNA,-3.03
GD,-3.11
EW,-4.25
GIS,-1.88
PXD,-3.71
F,-2.68
GM,-2.95
MCK,-1.8
PNC,-2.56
VLO,-1.03
USB,-2.54
PSA,-2.15
EMR,-5.11
CMG,-2.68
DG,-3.33
MSI,-1.55
MCO,-6.73
APH,-3.96
SRE,-3.95
OXY,-2.35
AZO,-3.4
D,-2.71
AEP,-1.6
NSC,-2.86
ROP,-4.21
PSX,-2.42
NXPI,-2.85
KMB,-3.53
MCHP,-2.38
DXCM,-6.64
MAR,-4.73
MSCI,-4.84
ADSK,-3.05
ADM,-5.27
CTVA,-5.47
FTNT,-3.98
TFC,-2.59
EXC,-2.32
ANET,-2.74
AJG,-3.89
PH,-1.45
ECL,-2.84
A,-2.45
NEM,-1.59
MNST,-3.86
TEL,-3.83
IDXX,-4.61
TT,-1.01
BIIB,-2.34
SYY,-4.55
O,-2.83
CTAS,-3.9
JCI,-1.19
HES,-4.62
TRV,-3.09
TDG,-6.46
DOW,-3.73
HSY,-3.09
MET,-2.83
ROST,-2.66
LHX,-5.7
XEL,-1.86
HLT,-2.27
YUM,-4.25
AIG,-4.84
COF,-2.85
PCAR,-1.84
CHTR,-4.31
IQV,-3.2
SPG,-3.01
NUE,-2.21
ILMN,-5.05
AFL,-4.52
WMB,-3.78
CARR,-1.72
STZ,-2.26
CNC,-2.49
PAYX,-2.19
KMI,-3.39
DVN,-2.9
MTD,-3.72
ED,-2.51
ON,-3.19
OTIS,-3.51
WBD,-3.67
WELL,-4.76
EA,-4.02
CMI,-1.45
BK,-4.96
VICI,-2.36
CPRT,-4.4
PPG,-2.66
RMD,-6.11
KR,-1.41
DD,-3.22
AME,-2.89
AMP,-2.68
ROK,-2.25
FIS,-2.97
DLTR,-4.75
CTSH,-3.56
PEG,-2.83
KHC,-4.11
DHI,-2.07
FAST,-2.19
PRU,-3.09
HAL,-3.34
ALL,-4.12
KDP,-2.44
WEC,-2.08
VRSK,-3.1
ODFL,-2.95
GWW,-2.05
GEHC,-5.23
BKR,-4.17
OKE,-3.5
APTV,-4.26
ANSS,-4.81
AWK,-4.28
KEYS,-3.7
ULTA,-1.5
RSG,-4.26
SBAC,-4.63
CSGP,-3.6
ENPH,-1.85
ES,-2.79
GPN,-2.13
ZBH,-3.92
EIX,-3.29
DLR,-1.92
TSCO,-2.14
ABC,-2.34
LEN,-3.8
DFS,-3.51
GLW,-4.9
STT,-4.25
FANG,-2.86
