Symbol,0
AAPL,illiquid. The volume is 1.46 times the average volume.
MSFT,illiquid. The volume is 1.07 times the average volume.
AMZN,illiquid. The volume is 1.57 times the average volume.
NVDA,illiquid. The volume is 1.26 times the average volume.
GOOGL,liquid. The volume is 1.22 times the average volume.
GOOG,liquid. The volume is 1.07 times the average volume.
TSLA,illiquid. The volume is 1.38 times the average volume.
META,illiquid. The volume is 1.22 times the average volume.
UNH,illiquid. The volume is 1.02 times the average volume.
XOM,illiquid. The volume is 1.09 times the average volume.
JNJ,liquid. The volume is 1.14 times the average volume.
JPM,liquid. The volume is 0.65 times the average volume.
V,illiquid. The volume is 1.46 times the average volume.
PG,illiquid. The volume is 1.27 times the average volume.
MA,illiquid. The volume is 1.21 times the average volume.
CVX,illiquid. The volume is 1.55 times the average volume.
HD,illiquid. The volume is 1.23 times the average volume.
LLY,liquid. The volume is 1.08 times the average volume.
ABBV,illiquid. The volume is 1.16 times the average volume.
MRK,illiquid. The volume is 1.26 times the average volume.
AVGO,illiquid. The volume is 1.55 times the average volume.
PEP,illiquid. The volume is 1.39 times the average volume.
KO,liquid. The volume is 0.69 times the average volume.
PFE,liquid. The volume is 1.12 times the average volume.
TMO,liquid. The volume is 0.58 times the average volume.
COST,liquid. The volume is 2.13 times the average volume.
WMT,illiquid. The volume is 1.29 times the average volume.
CSCO,illiquid. The volume is 1.23 times the average volume.
MCD,illiquid. The volume is 1.57 times the average volume.
BAC,illiquid. The volume is 1.38 times the average volume.
CRM,illiquid. The volume is 1.4 times the average volume.
ABT,illiquid. The volume is 1.05 times the average volume.
DIS,liquid. The volume is 0.66 times the average volume.
ACN,illiquid. The volume is 1.14 times the average volume.
LIN,illiquid. The volume is 1.6 times the average volume.
ADBE,illiquid. The volume is 1.73 times the average volume.
VZ,liquid. The volume is 1.08 times the average volume.
DHR,illiquid. The volume is 1.24 times the average volume.
TXN,illiquid. The volume is 1.4 times the average volume.
CMCSA,illiquid. The volume is 1.02 times the average volume.
NEE,illiquid. The volume is 1.72 times the average volume.
PM,illiquid. The volume is 1.34 times the average volume.
NFLX,illiquid. The volume is 1.63 times the average volume.
BMY,liquid. The volume is 1.18 times the average volume.
NKE,illiquid. The volume is 1.44 times the average volume.
AMD,illiquid. The volume is 1.31 times the average volume.
ORCL,liquid. The volume is 1.27 times the average volume.
WFC,illiquid. The volume is 1.0 times the average volume.
RTX,illiquid. The volume is 1.37 times the average volume.
T,illiquid. The volume is 1.08 times the average volume.
UPS,illiquid. The volume is 1.41 times the average volume.
QCOM,illiquid. The volume is 1.45 times the average volume.
INTC,illiquid. The volume is 1.67 times the average volume.
AMGN,illiquid. The volume is 1.23 times the average volume.
COP,illiquid. The volume is 1.35 times the average volume.
HON,illiquid. The volume is 1.13 times the average volume.
INTU,liquid. The volume is 1.03 times the average volume.
UNP,illiquid. The volume is 1.11 times the average volume.
SBUX,illiquid. The volume is 1.89 times the average volume.
LOW,illiquid. The volume is 1.63 times the average volume.
BA,illiquid. The volume is 1.08 times the average volume.
IBM,illiquid. The volume is 1.69 times the average volume.
ELV,liquid. The volume is 0.74 times the average volume.
PLD,illiquid. The volume is 1.43 times the average volume.
SPGI,illiquid. The volume is 1.08 times the average volume.
LMT,illiquid. The volume is 1.34 times the average volume.
MS,illiquid. The volume is 2.06 times the average volume.
GS,illiquid. The volume is 2.29 times the average volume.
CAT,liquid. The volume is 1.22 times the average volume.
MDT,illiquid. The volume is 1.43 times the average volume.
GILD,illiquid. The volume is 1.65 times the average volume.
GE,illiquid. The volume is 1.22 times the average volume.
BKNG,illiquid. The volume is 1.2 times the average volume.
DE,liquid. The volume is 1.17 times the average volume.
CVS,illiquid. The volume is 1.23 times the average volume.
BLK,illiquid. The volume is 1.61 times the average volume.
SYK,illiquid. The volume is 1.2 times the average volume.
MDLZ,illiquid. The volume is 1.2 times the average volume.
AMAT,illiquid. The volume is 1.05 times the average volume.
AMT,illiquid. The volume is 1.87 times the average volume.
NOW,liquid. The volume is 1.04 times the average volume.
ADI,illiquid. The volume is 1.15 times the average volume.
AXP,illiquid. The volume is 1.21 times the average volume.
TJX,illiquid. The volume is 1.72 times the average volume.
ISRG,illiquid. The volume is 1.66 times the average volume.
ADP,illiquid. The volume is 1.09 times the average volume.
REGN,illiquid. The volume is 1.18 times the average volume.
C,illiquid. The volume is 1.69 times the average volume.
TMUS,illiquid. The volume is 1.48 times the average volume.
PGR,illiquid. The volume is 1.29 times the average volume.
PYPL,liquid. The volume is 0.75 times the average volume.
MMC,liquid. The volume is 1.05 times the average volume.
VRTX,liquid. The volume is 0.72 times the average volume.
CB,illiquid. The volume is 1.5 times the average volume.
MO,illiquid. The volume is 1.62 times the average volume.
CI,illiquid. The volume is 1.03 times the average volume.
ZTS,illiquid. The volume is 1.36 times the average volume.
SO,liquid. The volume is 1.02 times the average volume.
DUK,illiquid. The volume is 1.09 times the average volume.
TGT,illiquid. The volume is 1.25 times the average volume.
SCHW,liquid. The volume is 1.2 times the average volume.
BDX,liquid. The volume is 1.25 times the average volume.
FISV,illiquid. The volume is 1.47 times the average volume.
BSX,liquid. The volume is 1.08 times the average volume.
SLB,illiquid. The volume is 1.47 times the average volume.
CME,illiquid. The volume is 1.39 times the average volume.
EOG,illiquid. The volume is 1.4 times the average volume.
NOC,liquid. The volume is 0.52 times the average volume.
LRCX,liquid. The volume is 0.74 times the average volume.
AON,illiquid. The volume is 1.84 times the average volume.
EQIX,illiquid. The volume is 1.53 times the average volume.
HUM,liquid. The volume is 1.01 times the average volume.
MU,liquid. The volume is 1.38 times the average volume.
ITW,illiquid. The volume is 1.06 times the average volume.
CL,illiquid. The volume is 1.39 times the average volume.
CSX,liquid. The volume is 1.28 times the average volume.
APD,liquid. The volume is 0.76 times the average volume.
ETN,liquid. The volume is 1.29 times the average volume.
WM,liquid. The volume is 1.72 times the average volume.
ATVI,illiquid. The volume is 1.12 times the average volume.
ICE,illiquid. The volume is 1.09 times the average volume.
MPC,illiquid. The volume is 1.22 times the average volume.
