Symbol,0
AAPL,trending downward over the year: -11.19 points. This is a good time to sell.
MSFT,trending downward over the year: -9.04 points. This is a good time to sell.
AMZN,trending downward over the year: -56.27 points. This is a good time to sell.
NVDA,trending downward over the year: -9.2 points. This is a good time to sell.
GOOGL,trending downward over the year: -26.5 points. This is a good time to sell.
GOOG,trending downward over the year: -26.62 points. This is a good time to sell.
TSLA,trending downward over the year: -177.68 points. This is a good time to sell.
META,trending downward over the year: -8.19 points. This is a good time to sell.
UNH,trending downward over the year: -43.86 points. This is a good time to sell.
XOM,trending downward over the year: -2.46 points. This is a good time to sell.
JNJ,trending downward over the year: -19.46 points. This is a good time to sell.
JPM,trending downward over the year: -16.27 points. This is a good time to sell.
V,trending downward over the year: -7.57 points. This is a good time to sell.
PG,trending downward over the year: -11.94 points. This is a good time to sell.
MA,trending downward over the year: -27.96 points. This is a good time to sell.
CVX,trending downward over the year: -19.84 points. This is a good time to sell.
HD,trending downward over the year: -57.48 points. This is a good time to sell.
LLY,trending downward over the year: -5.76 points. This is a good time to sell.
ABBV,trending downward over the year: -13.79 points. This is a good time to sell.
MRK,trending downward over the year: -1.32 points. This is a good time to sell.
AVGO,trending downward over the year: -20.17 points. This is a good time to sell.
PEP,trending downward over the year: -2.1 points. This is a good time to sell.
KO,trending downward over the year: -4.17 points. This is a good time to sell.
PFE,trending downward over the year: -14.22 points. This is a good time to sell.
TMO,trending downward over the year: -36.58 points. This is a good time to sell.
COST,trending downward over the year: -121.39 points. This is a good time to sell.
WMT,trending downward over the year: -9.73 points. This is a good time to sell.
CSCO,trending downward over the year: -3.35 points. This is a good time to sell.
MCD,trending downward over the year: -1.58 points. This is a good time to sell.
BAC,trending downward over the year: -12.39 points. This is a good time to sell.
CRM,trending downward over the year: -7.09 points. This is a good time to sell.
ABT,trending downward over the year: -18.82 points. This is a good time to sell.
DIS,trending downward over the year: -33.27 points. This is a good time to sell.
ACN,trending downward over the year: -62.06 points. This is a good time to sell.
LIN,trending downward over the year: -5.53 points. This is a good time to sell.
ADBE,trending downward over the year: -72.01 points. This is a good time to sell.
VZ,trending downward over the year: -15.73 points. This is a good time to sell.
DHR,trending downward over the year: -55.11 points. This is a good time to sell.
TXN,trending downward over the year: -7.07 points. This is a good time to sell.
CMCSA,trending downward over the year: -10.34 points. This is a good time to sell.
NEE,trending downward over the year: -12.35 points. This is a good time to sell.
PM,trending downward over the year: -9.9 points. This is a good time to sell.
NFLX,trending downward over the year: -38.95 points. This is a good time to sell.
BMY,trending downward over the year: -10.37 points. This is a good time to sell.
NKE,trending downward over the year: -18.65 points. This is a good time to sell.
AMD,trending downward over the year: -16.66 points. This is a good time to sell.
ORCL,trending neutral over the year: 0.0 points.
WFC,trending downward over the year: -12.09 points. This is a good time to sell.
RTX,trending downward over the year: -6.51 points. This is a good time to sell.
T,trending downward over the year: -1.75 points. This is a good time to sell.
UPS,trending downward over the year: -19.83 points. This is a good time to sell.
QCOM,trending downward over the year: -32.82 points. This is a good time to sell.
INTC,trending downward over the year: -15.9 points. This is a good time to sell.
AMGN,trending downward over the year: -41.24 points. This is a good time to sell.
COP,trending downward over the year: -30.75 points. This is a good time to sell.
HON,trending downward over the year: -28.85 points. This is a good time to sell.
INTU,trending downward over the year: -45.38 points. This is a good time to sell.
UNP,trending downward over the year: -51.82 points. This is a good time to sell.
